Year,Lastname,Firstname,Age,BirthYear,LifeExpectancy,Exceeded
1861,Lincoln,Abraham,52.76933607118412,1809,39.95999946594238,12.80933660524174
1862,Lincoln,Abraham,53.76865160848734,1809,39.95999946594238,13.808652142544958
1863,Lincoln,Abraham,54.76796714579056,1809,39.95999946594238,14.807967679848176
1864,Lincoln,Abraham,55.7700205338809,1809,39.95999946594238,15.810021067938521
1865,Johnson,Andrew,56.89253935660506,1808,40.11999969482422,16.77253966178084
1866,Johnson,Andrew,57.89185489390828,1808,40.11999969482422,17.771855199084058
1867,Johnson,Andrew,58.8911704312115,1808,40.11999969482422,18.771170736387276
1868,Johnson,Andrew,59.893223819301845,1808,40.11999969482422,19.773224124477622
1869,Grant,Ulysses S.,47.56741957563313,1822,40.1,7.46741957563313
1870,Grant,Ulysses S.,48.56673511293634,1822,40.1,8.466735112936341
1871,Grant,Ulysses S.,49.56605065023956,1822,40.1,9.46605065023956
1872,Grant,Ulysses S.,50.56810403832991,1822,40.1,10.468104038329912
1873,Grant,Ulysses S.,51.56741957563313,1822,40.1,11.46741957563313
1874,Grant,Ulysses S.,52.56673511293634,1822,40.1,12.466735112936341
1875,Grant,Ulysses S.,53.56605065023956,1822,40.1,13.46605065023956
1876,Grant,Ulysses S.,54.56810403832991,1822,40.1,14.468104038329912
1877,Hayes,Rutherford B.,55.12936344969199,1822,40.1,15.029363449691992
1878,Hayes,Rutherford B.,56.12867898699521,1822,40.1,16.02867898699521
1879,Hayes,Rutherford B.,57.12799452429842,1822,40.1,17.02799452429842
1880,Hayes,Rutherford B.,58.130047912388775,1822,40.1,18.030047912388774
1881,Arthur,Chester A.,52.12594113620808,1829,40.45,11.675941136208074
1882,Arthur,Chester A.,53.125256673511295,1829,40.45,12.675256673511292
1883,Arthur,Chester A.,54.12457221081451,1829,40.45,13.67457221081451
1884,Arthur,Chester A.,55.12662559890486,1829,40.45,14.676625598904856
1885,Cleveland,Grover,48.67624914442163,1837,39.30999946594238,9.36624967847925
1886,Cleveland,Grover,49.67556468172484,1837,39.30999946594238,10.36556521578246
1887,Cleveland,Grover,50.67488021902806,1837,39.30999946594238,11.364880753085679
1888,Cleveland,Grover,51.676933607118414,1837,39.30999946594238,12.366934141176031
1889,Harrison,Benjamin,56.251882272416154,1833,39.989999771118164,16.26188250129799
1890,Harrison,Benjamin,57.25119780971937,1833,39.989999771118164,17.261198038601208
1891,Harrison,Benjamin,58.25051334702259,1833,39.989999771118164,18.260513575904426
1892,Harrison,Benjamin,59.252566735112936,1833,39.989999771118164,19.26256696399477
1893,Cleveland,Grover,56.67624914442163,1837,39.30999946594238,17.36624967847925
1894,Cleveland,Grover,57.67556468172484,1837,39.30999946594238,18.36556521578246
1895,Cleveland,Grover,58.67488021902806,1837,39.30999946594238,19.36488075308568
1896,Cleveland,Grover,59.676933607118414,1837,39.30999946594238,20.36693414117603
1897,McKinley,William,54.809034907597535,1843,38.199999237060545,16.60903567053699
1898,McKinley,William,55.80835044490075,1843,38.199999237060545,17.608351207840208
1899,McKinley,William,56.80766598220397,1843,38.199999237060545,18.607666745143426
1900,McKinley,William,57.80698151950719,1843,38.199999237060545,19.606982282446644
1901,Roosevelt,Theodore,43.063655030800824,1858,35.43999862670898,7.623656404091847
1902,Roosevelt,Theodore,44.062970568104035,1858,35.43999862670898,8.622971941395058
1903,Roosevelt,Theodore,45.06228610540725,1858,35.43999862670898,9.622287478698276
