Name,Lastname,Born,Start,End
Washington,George,1732-02-22,1789-04-30,1797-03-04
Adams,John,1735-10-30,1797-03-04,1801-03-04
Jefferson,Thomas,1743-04-13,1801-03-04,1809-03-04
Madison,James,1751-03-16,1809-03-04,1817-03-04
Monroe,James,1758-04-28,1817-03-04,1825-03-04
Adams,John Quincy,1767-07-11,1825-03-04,1829-03-04
Jackson,Andrew,1767-03-15,1829-03-04,1837-03-04
Buren,Martin Van,1782-12-05,1837-03-04,1841-03-04
Harrison,William Henry,1773-02-09,1841-03-04,1841-04-04
Tyler,John,1790-03-29,1841-04-04,1845-03-04
Polk,James K.,1795-11-02,1845-03-04,1849-03-04
Taylor,Zachary,1784-11-24,1849-03-04,1850-07-09
Fillmore,Millard,1800-01-07,1850-07-09,1853-03-04
Pierce,Franklin,1804-11-23,1853-03-04,1857-03-04
Buchanan,James,1791-04-23,1857-03-04,1861-03-04
Lincoln,Abraham,1809-02-12,1861-03-04,1865-04-15
Johnson,Andrew,1808-12-29,1865-04-15,1869-03-04
Grant,Ulysses S.,1822-04-27,1869-03-04,1877-03-04
Hayes,Rutherford B.,1822-10-04,1877-03-04,1881-03-04
Garfield,James A.,1831-11-19,1881-03-04,1881-09-19
Arthur,Chester A.,1829-10-05,1881-09-19,1885-03-04
Cleveland,Grover,1837-03-18,1885-03-04,1889-03-04
Harrison,Benjamin,1833-08-20,1889-03-04,1893-03-04
Cleveland,Grover,1837-03-18,1893-03-04,1897-03-04
McKinley,William,1843-01-29,1897-03-04,1901-09-14
Roosevelt,Theodore,1858-10-27,1901-09-14,1909-03-04
Taft,William Howard,1857-09-15,1909-03-04,1913-03-04
Wilson,Woodrow,1856-12-28,1913-03-04,1921-03-04
Harding,Warren G.,1865-11-02,1921-03-04,1923-08-02
Coolidge,Calvin,1872-07-04,1923-08-02,1929-03-04
Hoover,Herbert,1874-08-10,1929-03-04,1933-03-04
Roosevelt,Franklin D.,1882-01-30,1933-03-04,1945-04-12
Truman,Harry S.,1884-05-08,1945-04-12,1953-01-20
Eisenhower,Dwight D.,1890-10-14,1953-01-20,1961-01-20
Kennedy,John F.,1917-05-29,1961-01-20,1963-11-22
Johnson,Lyndon B.,1908-08-27,1963-11-22,1969-01-20
Nixon,Richard,1913-01-09,1969-01-20,1974-08-09
Ford,Gerald,1913-07-14,1974-08-09,1977-01-20
Carter,Jimmy,1924-10-01,1977-01-20,1981-01-20
Reagan,Ronald,1911-02-06,1981-01-20,1989-01-20
Bush,George H. W.,1924-06-12,1989-01-20,1993-01-20
Clinton,Bill,1946-08-19,1993-01-20,2001-01-20
Bush,George W.,1946-07-06,2001-01-20,2009-01-20
Obama,Barack,1961-08-04,2009-01-20,2017-01-20
Trump,Donald,1946-06-14,2017-01-20,2021-01-20
Biden,Joe,1942-11-20,2021-01-20,2021-11-20
